age,income,experience_years,credit_history_years,existing_loans,loan_amount,region,employment_type,default
61,20400,39,12,0,110000,Регион,Наёмный труд,1
58,59200,33,1,0,85000,Москва,Без работы,0
60,42800,34,0,1,69000,Санкт-Петербург,Наёмный труд,0
47,63600,20,10,1,35000,Санкт-Петербург,Наёмный труд,0
26,77300,5,5,0,27000,Регион,ИП,0
28,25100,2,9,1,82000,Регион,Наёмный труд,0
27,77400,4,1,2,241000,Москва,Наёмный труд,0
31,49200,5,7,0,101000,Регион,Наёмный труд,0
53,90100,28,5,2,182000,Санкт-Петербург,Наёмный труд,0
52,44700,30,11,1,49000,Регион,Наёмный труд,0
42,39700,21,11,1,117000,Регион,Без работы,0
43,49600,18,4,0,65000,Москва,Наёмный труд,0
56,51300,30,12,2,63000,Москва,ИП,0
54,36400,31,1,0,154000,Москва,Наёмный труд,0
63,39200,39,6,0,92000,Москва,Наёмный труд,1
59,28200,32,1,0,43000,Регион,ИП,0
41,40300,18,12,0,105000,Москва,Наёмный труд,0
46,66500,20,13,3,64000,Регион,Наёмный труд,0
54,46100,31,4,1,41000,Регион,Наёмный труд,0
20,77200,0,1,1,54000,Регион,Наёмный труд,0
54,45100,30,10,1,337000,Москва,Наёмный труд,0
56,25700,33,9,2,204000,Регион,ИП,1
33,64100,9,10,1,29000,Регион,Наёмный труд,0
22,36200,0,10,1,88000,Регион,Без работы,1
20,44100,0,1,0,92000,Регион,Наёмный труд,0
24,85600,0,14,0,84000,Москва,Наёмный труд,0
45,29100,20,6,1,66000,Москва,Наёмный труд,0
33,52800,9,8,1,155000,Регион,Наёмный труд,0
58,48100,37,4,2,174000,Регион,Наёмный труд,0
46,67200,24,6,0,185000,Регион,Самозанятый,0
28,72000,7,3,1,120000,Санкт-Петербург,Наёмный труд,0
34,55200,10,1,1,142000,Регион,Наёмный труд,0
34,41700,12,2,2,80000,Санкт-Петербург,Без работы,1
45,60700,20,1,0,38000,Москва,Наёмный труд,0
61,89400,39,4,0,38000,Регион,Наёмный труд,0
32,48400,8,5,2,59000,Москва,Наёмный труд,0
51,43500,26,14,0,88000,Регион,Наёмный труд,0
58,58400,36,14,0,46000,Регион,Наёмный труд,0
51,49900,29,6,0,50000,Регион,Наёмный труд,0
23,26900,2,2,0,79000,Регион,Наёмный труд,0
49,54600,27,3,2,166000,Регион,ИП,0
56,26700,30,7,1,121000,Санкт-Петербург,Самозанятый,1
42,58000,18,3,1,59000,Регион,ИП,0
58,34200,38,6,0,102000,Регион,Наёмный труд,0
64,49800,44,11,2,44000,Регион,Наёмный труд,0
34,58400,14,5,2,59000,Регион,Наёмный труд,0
62,147900,38,6,2,37000,Москва,Наёмный труд,0
48,68500,28,0,1,128000,Москва,Наёмный труд,0
55,90600,34,2,1,83000,Москва,Наёмный труд,0
32,113800,8,5,0,90000,Регион,Наёмный труд,0
51,61100,25,2,1,160000,Регион,ИП,1
26,55700,1,14,0,54000,Регион,Наёмный труд,0
41,30300,15,13,0,131000,Регион,Без работы,1
47,46500,23,14,0,325000,Регион,ИП,0
21,35400,0,13,1,55000,Москва,Наёмный труд,0
61,40900,39,6,1,39000,Москва,Наёмный труд,0
64,113800,42,8,1,46000,Регион,Наёмный труд,0
25,51600,3,2,2,125000,Регион,ИП,0
47,33100,20,13,1,281000,Москва,Наёмный труд,0
47,91000,20,0,4,275000,Регион,Наёмный труд,0
63,75300,40,9,0,164000,Санкт-Петербург,Наёмный труд,0
63,77100,36,14,0,167000,Регион,Наёмный труд,0
39,19900,18,12,1,130000,Москва,Без работы,1
49,117800,25,5,0,153000,Регион,Наёмный труд,0
30,38100,4,11,1,118000,Санкт-Петербург,Наёмный труд,0
47,69600,23,0,0,61000,Регион,Наёмный труд,0
44,152600,22,0,1,276000,Регион,Самозанятый,0
58,129300,34,13,1,220000,Регион,Наёмный труд,0
52,31600,27,7,1,62000,Регион,Самозанятый,0
20,25600,0,8,0,146000,Москва,Самозанятый,0
46,93300,22,1,2,237000,Москва,Самозанятый,0
32,52300,6,8,0,127000,Регион,Наёмный труд,0
60,39100,40,4,1,87000,Регион,Наёмный труд,0
22,64800,0,12,2,233000,Санкт-Петербург,Наёмный труд,0
58,45600,33,7,1,115000,Регион,Наёмный труд,0
25,67200,1,6,0,68000,Москва,Наёмный труд,0
27,50500,4,6,1,50000,Москва,Наёмный труд,0
46,67900,24,3,1,17000,Регион,Наёмный труд,0
28,32800,7,1,1,323000,Регион,Наёмный труд,1
56,93100,35,4,0,60000,Регион,Наёмный труд,0
52,67100,32,13,1,176000,Регион,Наёмный труд,0
61,65600,40,10,0,57000,Регион,ИП,0
63,29600,42,10,0,109000,Санкт-Петербург,Наёмный труд,0
43,105300,21,2,0,129000,Регион,ИП,0
34,48700,7,14,2,47000,Регион,Наёмный труд,0
51,68000,29,13,1,175000,Москва,Без работы,0
51,42400,28,8,1,88000,Санкт-Петербург,Самозанятый,0
43,55100,17,5,1,138000,Регион,Наёмный труд,0
60,56000,40,0,1,236000,Регион,Наёмный труд,0
31,13800,10,2,0,154000,Москва,Наёмный труд,0
58,63700,35,11,1,93000,Москва,Наёмный труд,0
21,118700,1,3,1,317000,Санкт-Петербург,ИП,0
22,62500,0,8,2,96000,Санкт-Петербург,Наёмный труд,0
56,31900,35,10,2,104000,Регион,Наёмный труд,0
36,65700,15,5,1,89000,Регион,Наёмный труд,0
21,79000,0,3,1,47000,Регион,Самозанятый,0
21,61700,0,0,1,44000,Санкт-Петербург,Наёмный труд,0
47,47400,27,7,0,71000,Регион,Самозанятый,0
42,44000,21,13,0,54000,Москва,Наёмный труд,0
56,43900,29,10,1,84000,Москва,Наёмный труд,0
51,67100,31,1,0,162000,Регион,Наёмный труд,0
52,26000,26,10,0,77000,Москва,Наёмный труд,0
20,41500,0,14,4,113000,Санкт-Петербург,Самозанятый,1
38,100500,15,10,1,73000,Регион,Самозанятый,0
21,102300,0,7,0,455000,Москва,Наёмный труд,0
63,25200,40,5,0,244000,Регион,Наёмный труд,0
45,29500,21,7,1,85000,Санкт-Петербург,Наёмный труд,1
51,43400,30,5,0,116000,Москва,Наёмный труд,0
25,73300,0,4,1,44000,Регион,Наёмный труд,0
51,21500,25,4,0,87000,Регион,Наёмный труд,0
23,47800,1,13,1,69000,Регион,Самозанятый,1
30,39600,9,13,1,154000,Регион,ИП,0
36,89000,16,9,1,56000,Регион,Наёмный труд,0
57,23000,32,9,2,267000,Регион,Самозанятый,1
43,51100,20,10,2,95000,Москва,Наёмный труд,0
24,41100,4,7,2,59000,Регион,Наёмный труд,0
53,95000,29,6,0,101000,Регион,Наёмный труд,0
25,64100,2,7,0,154000,Регион,ИП,0
41,37700,19,11,3,135000,Регион,Самозанятый,0
30,72000,7,7,0,108000,Москва,Самозанятый,1
35,41200,10,6,0,167000,Регион,ИП,0
52,76900,25,1,2,161000,Регион,Наёмный труд,0
28,44100,2,10,0,162000,Регион,Наёмный труд,0
25,78800,0,14,2,84000,Регион,Наёмный труд,0
35,59600,14,8,1,83000,Регион,Самозанятый,0
48,212600,23,12,0,87000,Регион,Без работы,0
22,47900,0,6,0,73000,Регион,Наёмный труд,0
39,58200,14,11,1,105000,Регион,ИП,0
55,39500,34,10,0,98000,Регион,Наёмный труд,0
38,49100,15,14,0,266000,Регион,Наёмный труд,0
45,14500,21,5,3,73000,Регион,Наёмный труд,0
22,60400,1,8,0,55000,Санкт-Петербург,Самозанятый,0
38,89700,17,12,0,145000,Регион,Наёмный труд,1
39,58600,13,0,0,103000,Регион,Самозанятый,0
51,27100,29,10,1,65000,Регион,Наёмный труд,0
26,34200,0,1,2,158000,Регион,Наёмный труд,1
60,16400,37,12,0,84000,Москва,Наёмный труд,0
52,76200,31,0,1,246000,Москва,Самозанятый,0
59,31200,35,9,0,56000,Санкт-Петербург,Наёмный труд,0
58,48400,38,11,0,70000,Регион,Самозанятый,0
37,45700,14,2,0,107000,Москва,Наёмный труд,0
59,95700,37,10,0,223000,Регион,Наёмный труд,0
20,50900,0,4,2,64000,Санкт-Петербург,Самозанятый,0
30,70500,9,0,0,124000,Регион,Наёмный труд,0
47,62700,23,3,1,49000,Москва,Самозанятый,0
44,90400,21,13,0,171000,Москва,Наёмный труд,0
42,44000,18,12,0,67000,Регион,Наёмный труд,0
50,113700,26,7,0,143000,Москва,ИП,0
49,20100,22,5,2,148000,Регион,Самозанятый,0
61,72100,35,12,0,33000,Москва,Наёмный труд,0
54,33200,29,0,0,112000,Регион,Наёмный труд,0
26,39300,4,11,0,73000,Регион,Наёмный труд,0
35,63300,8,0,2,133000,Санкт-Петербург,Наёмный труд,0
45,63100,22,2,3,58000,Москва,Наёмный труд,0
21,64400,0,13,0,70000,Санкт-Петербург,Наёмный труд,0
20,26300,0,9,1,203000,Регион,Самозанятый,1
31,94100,10,14,3,193000,Москва,ИП,0
24,32700,4,7,1,54000,Регион,Наёмный труд,1
56,34700,32,10,1,290000,Регион,Самозанятый,1
51,65300,31,10,1,21000,Регион,Наёмный труд,0
28,43100,2,13,0,112000,Москва,Наёмный труд,0
60,56300,36,7,2,46000,Москва,Самозанятый,0
54,18600,29,12,1,123000,Санкт-Петербург,Самозанятый,1
38,55700,16,2,2,84000,Регион,Наёмный труд,0
35,54100,14,6,0,54000,Санкт-Петербург,ИП,0
22,39000,0,11,1,63000,Регион,Наёмный труд,0
39,19300,13,2,0,62000,Регион,Самозанятый,0
43,44500,18,3,1,103000,Москва,Наёмный труд,0
52,48200,31,8,0,177000,Регион,ИП,0
43,41600,21,12,1,320000,Москва,Наёмный труд,0
30,21500,7,3,0,89000,Санкт-Петербург,Наёмный труд,0
27,100500,1,2,0,118000,Москва,Наёмный труд,0
55,36800,35,4,1,201000,Москва,Наёмный труд,1
57,44400,37,6,1,75000,Регион,ИП,0
59,16600,32,4,0,62000,Регион,Без работы,0
39,100500,18,3,0,318000,Москва,Самозанятый,0
54,39700,33,7,0,89000,Регион,Наёмный труд,0
44,51200,23,3,1,112000,Регион,Самозанятый,1
54,81200,28,1,0,38000,Москва,Наёмный труд,0
44,36200,22,9,0,72000,Москва,Наёмный труд,0
48,75600,25,12,1,306000,Регион,Самозанятый,0
37,19400,17,13,2,130000,Регион,Наёмный труд,1
37,62800,12,5,0,97000,Регион,Самозанятый,0
21,99500,0,1,0,228000,Регион,Самозанятый,0
54,37800,28,2,1,37000,Регион,Наёмный труд,0
35,81100,9,0,1,77000,Регион,Наёмный труд,0
60,111900,38,4,2,387000,Регион,Наёмный труд,0
55,43700,35,8,1,96000,Регион,Без работы,1
52,42100,25,1,2,95000,Санкт-Петербург,Наёмный труд,0
23,32700,0,11,2,200000,Регион,Наёмный труд,0
52,39000,30,6,1,209000,Москва,Наёмный труд,1
33,34000,8,4,2,45000,Регион,Наёмный труд,0
40,32700,20,1,0,128000,Регион,ИП,0
39,84100,17,7,1,283000,Регион,Наёмный труд,0
27,34400,7,10,0,67000,Санкт-Петербург,Без работы,0
26,55100,6,14,1,79000,Регион,Наёмный труд,0
22,49900,0,12,0,100000,Регион,Наёмный труд,0
36,96200,10,12,4,150000,Регион,Наёмный труд,0
52,39100,29,5,0,42000,Регион,Без работы,0
31,58200,5,3,0,15000,Регион,Наёмный труд,0
41,70000,17,12,4,112000,Санкт-Петербург,Наёмный труд,0
41,95800,18,3,0,199000,Регион,Наёмный труд,0
49,38800,29,1,0,82000,Регион,Наёмный труд,0
57,37100,35,2,0,68000,Санкт-Петербург,Наёмный труд,0
57,30400,32,14,0,89000,Москва,ИП,0
64,134100,37,6,1,257000,Санкт-Петербург,Наёмный труд,0
27,91400,4,2,1,66000,Регион,Наёмный труд,1
46,48100,22,12,0,139000,Регион,Самозанятый,0
46,116900,26,4,1,49000,Регион,Наёмный труд,0
53,46800,28,9,0,51000,Регион,Наёмный труд,0
40,67900,17,5,1,164000,Санкт-Петербург,Наёмный труд,0
49,49200,23,5,3,263000,Регион,Наёмный труд,0
52,58600,26,13,0,168000,Санкт-Петербург,Наёмный труд,0
47,55900,24,3,0,29000,Москва,Наёмный труд,0
52,40500,29,5,0,77000,Регион,Наёмный труд,0
24,80100,1,2,0,114000,Москва,Наёмный труд,0
38,67700,13,6,2,102000,Регион,Наёмный труд,0
23,77800,0,6,0,31000,Регион,Без работы,0
54,56600,32,3,0,45000,Регион,Без работы,0
36,32600,12,1,2,61000,Москва,Самозанятый,1
63,105800,39,10,1,95000,Регион,Наёмный труд,0
47,43600,20,6,0,31000,Регион,Наёмный труд,0
49,57700,29,2,0,142000,Регион,Самозанятый,0
48,65200,27,14,0,93000,Регион,Наёмный труд,0
25,57600,3,0,2,53000,Регион,Наёмный труд,1
54,74000,28,1,1,111000,Регион,Наёмный труд,0
60,79500,40,9,0,42000,Регион,Наёмный труд,0
56,44300,29,8,1,96000,Регион,Самозанятый,0
43,101900,23,11,0,34000,Регион,Самозанятый,0
48,43500,25,14,2,37000,Регион,ИП,0
50,57000,29,7,1,75000,Регион,Самозанятый,1
54,41200,28,14,3,64000,Москва,Наёмный труд,0
52,36200,31,14,0,124000,Регион,ИП,0
40,78400,18,13,0,98000,Санкт-Петербург,Наёмный труд,0
51,199800,30,5,0,348000,Санкт-Петербург,ИП,0
42,41700,22,13,2,84000,Москва,Наёмный труд,0
52,84700,31,5,0,14000,Санкт-Петербург,ИП,0
22,42300,1,13,0,29000,Регион,Без работы,0
37,48800,13,0,1,48000,Регион,Наёмный труд,0
44,108100,18,1,0,752000,Москва,Наёмный труд,0
61,30200,35,3,1,97000,Регион,Наёмный труд,0
50,26800,30,2,1,192000,Санкт-Петербург,Наёмный труд,0
22,47100,0,13,0,181000,Регион,Наёмный труд,0
59,66100,38,0,1,46000,Регион,Самозанятый,0
43,60400,22,7,1,34000,Регион,Наёмный труд,0
51,57700,28,6,0,145000,Москва,Наёмный труд,0
41,49800,15,3,2,26000,Регион,ИП,0
42,69800,21,11,0,177000,Регион,Наёмный труд,0
21,13200,0,11,0,92000,Регион,Наёмный труд,1
46,35000,25,8,0,143000,Москва,ИП,0
61,47000,37,10,1,118000,Регион,Самозанятый,0
21,67300,1,13,0,122000,Москва,Наёмный труд,0
45,95800,19,3,1,105000,Регион,Наёмный труд,0
36,32900,14,0,2,117000,Москва,Наёмный труд,0
59,94400,39,14,2,101000,Регион,Наёмный труд,0
52,40000,29,9,0,43000,Москва,Наёмный труд,0
28,46200,8,14,2,78000,Регион,ИП,0
62,63700,41,0,0,363000,Регион,Самозанятый,1
58,44700,35,0,1,119000,Регион,Наёмный труд,0
48,80800,28,0,1,196000,Регион,Наёмный труд,0
61,40900,34,3,1,55000,Санкт-Петербург,Наёмный труд,1
45,41100,22,0,1,54000,Москва,Наёмный труд,0
54,78700,27,1,0,48000,Москва,Наёмный труд,0
44,34800,22,3,2,44000,Регион,Самозанятый,1
43,54800,23,6,1,37000,Регион,Наёмный труд,0
32,23200,6,1,2,114000,Регион,Наёмный труд,0
26,111200,0,7,1,80000,Москва,Наёмный труд,0
55,84400,30,12,1,167000,Регион,Наёмный труд,0
64,169000,43,6,0,82000,Регион,Наёмный труд,0
39,89500,12,8,0,23000,Регион,Наёмный труд,0
20,29500,0,13,0,129000,Регион,Наёмный труд,0
27,66200,2,5,1,29000,Санкт-Петербург,Наёмный труд,0
35,32400,10,3,0,112000,Санкт-Петербург,Без работы,0
33,99700,9,5,0,62000,Москва,Наёмный труд,0
31,29900,4,14,0,113000,Регион,Наёмный труд,0
42,29200,19,3,2,42000,Регион,Наёмный труд,0
34,23800,9,6,1,157000,Москва,Наёмный труд,1
47,39300,23,8,4,101000,Москва,Наёмный труд,1
53,35900,28,2,2,80000,Москва,Наёмный труд,0
21,27800,0,2,0,36000,Регион,Наёмный труд,0
51,120000,29,1,0,293000,Москва,Самозанятый,0
42,62200,15,0,1,57000,Санкт-Петербург,Наёмный труд,0
41,59000,17,13,0,116000,Санкт-Петербург,Без работы,0
44,100200,22,0,1,56000,Регион,Самозанятый,0
41,55000,18,12,2,952000,Регион,Наёмный труд,0
41,35000,20,2,1,108000,Регион,Наёмный труд,0
61,22800,37,13,1,68000,Москва,Наёмный труд,1
25,34100,2,6,1,142000,Регион,Наёмный труд,0
34,96500,9,14,0,155000,Санкт-Петербург,Наёмный труд,0
62,27900,36,10,1,125000,Регион,Наёмный труд,0
56,57500,36,8,0,81000,Санкт-Петербург,Без работы,0
52,78100,29,13,0,129000,Москва,Наёмный труд,0
27,55700,5,1,0,90000,Регион,Наёмный труд,0
63,58700,42,6,0,97000,Москва,Наёмный труд,0
63,65800,42,0,0,62000,Москва,Наёмный труд,0
24,58100,1,1,2,41000,Регион,Самозанятый,0
58,101100,33,5,1,138000,Регион,Наёмный труд,0
23,30700,3,10,0,142000,Регион,Наёмный труд,0
25,54600,0,4,0,215000,Регион,Самозанятый,0
64,21600,42,7,1,102000,Регион,Самозанятый,0
51,19300,28,11,2,87000,Регион,ИП,0
49,47300,26,10,2,42000,Регион,Самозанятый,0
54,62600,28,1,0,96000,Регион,Наёмный труд,0
59,102100,38,0,1,123000,Москва,Наёмный труд,0
35,145600,13,6,0,33000,Санкт-Петербург,Наёмный труд,0
32,88800,12,5,0,187000,Регион,Наёмный труд,0
61,68000,40,7,1,64000,Регион,Наёмный труд,0
49,52700,26,10,0,88000,Регион,Самозанятый,0
38,24600,17,14,2,141000,Санкт-Петербург,Наёмный труд,0
36,45900,15,14,2,98000,Москва,Без работы,0
38,87600,14,12,0,229000,Санкт-Петербург,Наёмный труд,0
47,73400,26,13,1,144000,Москва,ИП,1
45,27500,20,7,0,90000,Регион,Наёмный труд,0
56,64600,35,1,1,15000,Регион,ИП,0
45,62200,18,13,0,179000,Регион,Наёмный труд,0
42,57400,17,7,0,49000,Регион,Наёмный труд,0
28,48400,6,5,0,165000,Регион,Наёмный труд,0
31,66100,10,8,2,132000,Регион,Без работы,0
20,67100,0,11,2,88000,Регион,Наёмный труд,0
20,36700,0,6,1,175000,Регион,Наёмный труд,0
53,60200,28,1,1,135000,Регион,Наёмный труд,0
51,45000,28,7,1,120000,Регион,Наёмный труд,0
44,25100,22,8,2,35000,Регион,Самозанятый,0
59,38100,38,6,0,101000,Регион,ИП,1
64,24300,38,3,1,47000,Регион,Без работы,1
20,76200,0,8,0,51000,Регион,Наёмный труд,0
35,57500,12,3,1,79000,Регион,Наёмный труд,1
58,41800,36,11,0,238000,Санкт-Петербург,Самозанятый,0
24,92900,0,3,0,123000,Санкт-Петербург,Без работы,0
41,50500,16,8,0,128000,Регион,Без работы,0
48,25700,28,13,2,157000,Москва,ИП,1
22,40200,0,7,1,58000,Регион,Наёмный труд,0
31,102200,10,3,1,38000,Санкт-Петербург,Наёмный труд,0
45,36300,19,13,2,34000,Санкт-Петербург,Самозанятый,0
35,55500,11,7,1,113000,Регион,Самозанятый,1
56,68500,32,14,0,178000,Регион,ИП,0
41,63900,19,7,0,171000,Регион,Наёмный труд,0
48,147600,22,6,0,60000,Санкт-Петербург,Наёмный труд,0
33,28900,13,9,0,223000,Регион,Наёмный труд,0
47,30200,24,12,0,336000,Регион,Наёмный труд,1
24,29100,4,5,0,142000,Санкт-Петербург,Наёмный труд,0
49,42900,23,7,0,241000,Москва,Без работы,1
24,80400,0,6,2,167000,Регион,Наёмный труд,0
31,30800,6,4,0,86000,Санкт-Петербург,Наёмный труд,0
35,80900,11,11,0,66000,Регион,Наёмный труд,0
45,49800,23,12,2,38000,Санкт-Петербург,ИП,0
45,29800,24,12,0,76000,Регион,Наёмный труд,1
40,22300,20,3,1,86000,Москва,Без работы,0
58,24700,34,13,2,87000,Регион,Наёмный труд,0
55,36300,32,11,1,92000,Регион,Наёмный труд,0
52,45400,30,1,0,25000,Москва,ИП,1
49,89800,28,10,2,158000,Регион,Наёмный труд,1
56,70200,36,7,0,169000,Регион,Наёмный труд,0
42,33600,19,8,2,123000,Регион,Наёмный труд,1
29,58900,8,3,0,49000,Регион,ИП,0
24,103100,0,3,0,123000,Москва,Наёмный труд,0
55,113900,31,4,2,100000,Регион,Наёмный труд,0
53,42600,28,1,1,131000,Регион,Самозанятый,1
50,75500,26,6,0,250000,Регион,Наёмный труд,0
29,91600,6,14,0,89000,Регион,Наёмный труд,0
38,24900,11,4,1,110000,Санкт-Петербург,Наёмный труд,0
51,38900,26,5,2,59000,Москва,Наёмный труд,0
20,133100,0,3,0,172000,Регион,Наёмный труд,0
24,42800,2,7,1,150000,Регион,Самозанятый,0
64,13100,41,7,1,112000,Москва,ИП,0
23,46400,0,11,1,52000,Санкт-Петербург,Наёмный труд,0
35,81300,15,4,2,66000,Регион,Без работы,0
43,49200,19,11,1,33000,Москва,Наёмный труд,1
35,67600,10,5,0,65000,Москва,Наёмный труд,0
21,74800,0,2,0,151000,Санкт-Петербург,ИП,0
47,41800,26,0,0,125000,Регион,Наёмный труд,1
51,38800,24,8,3,109000,Регион,Наёмный труд,0
46,52500,25,8,0,241000,Регион,Наёмный труд,0
39,53100,15,2,1,119000,Регион,Наёмный труд,0
43,50200,22,3,0,70000,Санкт-Петербург,Наёмный труд,0
31,51200,7,12,1,65000,Москва,ИП,0
54,35000,32,6,1,86000,Регион,ИП,0
52,68700,31,1,1,75000,Москва,Наёмный труд,0
52,64200,27,11,0,175000,Регион,Наёмный труд,0
62,26900,37,2,2,127000,Регион,Наёмный труд,0
56,41100,36,5,2,81000,Москва,Наёмный труд,0
31,51100,7,10,4,83000,Регион,Наёмный труд,1
22,38500,1,7,1,151000,Регион,Наёмный труд,1
20,65300,0,14,0,181000,Регион,Наёмный труд,0
52,47600,26,0,1,33000,Москва,Наёмный труд,0
59,52900,37,3,1,89000,Санкт-Петербург,Самозанятый,0
29,40900,2,14,0,104000,Регион,Наёмный труд,0
62,20000,40,0,0,137000,Регион,Без работы,1
63,19500,37,1,1,106000,Москва,Самозанятый,0
48,63900,22,7,0,126000,Регион,Без работы,1
32,55300,12,5,0,86000,Регион,Самозанятый,1
