ticket_id,created,closed,department,type,status,operator,rating
254,2024-11-03 18:00,,Доставка,Жалоба,Отклонено,Сидоров К.,
43,2024-09-25 11:15,26.09.2024 09:35,доставка,Претензия,Решено,,нет оценки
116,06.09.2024 13:00,,ПОДДЕРЖКА,Жалоба,Отклонено,Кузнецова О.,
4,2024-09-04 16:30,-,качество,Претензия,Отклонено,Иванов А.,2
79,23.11.2024 15:15,24.11.2024 06:13,Поддержка,Вопрос,решено,Сидоров К.,5 из 5
6,07.10.2024 09:00,2024-10-08 15:25,доставка,Возврат,Решено,,5 из 5
40,2024-11-06 15:00,,Оплата,Претензия,Отклонено,Кузнецова О.,4
201,2024-09-03 14:30,2024-09-03 16:56,Оплата,Консультация,Решено,Иванов А.,1
1,2024-10-28 17:45,-,Оплата,Претензия,Отклонено,,3
50,08.09.2024 11:45,09.09.2024 18:05,Оплата,Вопрос,Решено,Кузнецова О.,5 из 5
276,2024-11-18 16:15,,Качество,Консультация,Отклонено,Кузнецова О.,5 из 5
66,07.11.2024 11:30,07.11.2024 17:37,качество,Консультация,решено,,1
194,2024-10-24 14:30,25.10.2024 04:47,Доставка,Претензия,Решено,Сидоров К.,2
73,28.09.2024 19:00,, Доставка ,Жалоба,В работе,Сидоров К.,1
123,2024-10-02 11:30,2024-10-02 14:20,оплата ,Претензия,Решено,Иванов А.,нет оценки
153,20.09.2024 18:15,,Качество,Консультация,В работе,Иванов А.,2
195,17.09.2024 18:30,,доставка,Консультация,Отклонено,Иванов А.,
294,26.11.2024 11:45,-,Поддержка,Жалоба,В работе,Кузнецова О.,2
102,2024-11-05 11:15,2024-11-09 06:00,доставка,Жалоба,Решено,Петрова М.,2
69,10.09.2024 10:15,10.09.2024 16:38,Качество,Вопрос,Решено,Сидоров К.,
108,14.10.2024 17:15,,Доставка,Жалоба,В работе,Кузнецова О.,5
275,2024-09-14 16:15,,качество,Претензия,В работе,,5
206,09.11.2024 19:00,,Качество,Вопрос,Отклонено,Смирнов Д.,4
239,14.09.2024 10:30,, Доставка ,Жалоба,В работе,,5
188,26.09.2024 17:45,,качество,Консультация,Отклонено,Петрова М.,
261,01.10.2024 18:45,2024-10-02 01:42,Оплата,Возврат,Решено,Иванов А.,
26,2024-11-21 15:15,21.11.2024 21:52, Доставка ,Претензия,решено,Сидоров К.,3
56,2024-11-08 10:45,2024-11-12 05:26,оплата ,Возврат,Решено,Иванов А.,5 из 5
147,31.10.2024 11:30,01.11.2024 02:17,ПОДДЕРЖКА,Консультация,решено,Сидоров К.,3
146,02.11.2024 15:30,, Доставка ,Претензия,В работе,Петрова М.,2
25,2024-11-06 11:30,,поддержка,Вопрос,Отклонено,Петрова М.,
24,15.09.2024 16:45,, Доставка ,Консультация,В работе,Петрова М.,1
37,23.09.2024 17:30,24.09.2024 08:03,Качество,Претензия,решено,Смирнов Д.,4
136,16.11.2024 16:30,,ПОДДЕРЖКА,Жалоба,Отклонено,Смирнов Д.,3
15,05.09.2024 17:30,06.09.2024 15:55,качество,Консультация,решено,Петрова М.,нет оценки
287,2024-11-26 11:00,26.11.2024 13:29,Поддержка,Претензия,Решено,Иванов А.,1
5,2024-11-24 10:45,,Поддержка,Жалоба,В работе,Смирнов Д.,1
103,2024-11-01 18:45,,качество,Претензия,В работе,Иванов А.,
118,08.11.2024 19:15,2024-11-10 19:18,качество,Претензия,решено,,
225,20.10.2024 16:00,2024-10-20 22:39,Доставка,Вопрос,решено,Смирнов Д.,3
44,2024-11-14 10:30,15.11.2024 09:26,поддержка,Консультация,решено,Смирнов Д.,5 из 5
109,03.11.2024 18:00,,качество,Претензия,Отклонено,Кузнецова О.,5 из 5
251,10.09.2024 13:15,2024-09-14 07:55,оплата ,Претензия,решено,Сидоров К.,нет оценки
228,18.10.2024 14:30,22.10.2024 09:15,Качество,Вопрос,Решено,Иванов А.,4
23,2024-10-30 17:00,31.10.2024 23:01,Доставка,Жалоба,Решено,,нет оценки
138,12.11.2024 19:15,, Доставка ,Вопрос,В работе,Петрова М.,5
234,2024-09-25 14:30,, Доставка ,Возврат,В работе,Кузнецова О.,4
278,30.10.2024 18:00,03.11.2024 12:54,Поддержка,Вопрос,решено,Иванов А.,4
175,2024-09-24 12:00,2024-09-25 02:43,доставка,Жалоба,решено,Петрова М.,
213,15.10.2024 09:00,15.10.2024 15:17,доставка,Вопрос,решено,Смирнов Д.,5 из 5
198,11.10.2024 16:00,15.10.2024 10:50,Оплата,Возврат,решено,Иванов А.,2
71,2024-10-18 11:30,-,Поддержка,Консультация,В работе,Иванов А.,5 из 5
214,27.11.2024 10:00,,Доставка,Вопрос,Отклонено,Петрова М.,
18,18.10.2024 17:15,19.10.2024 00:12,оплата ,Возврат,Решено,Иванов А.,3
90,2024-11-15 17:30,2024-11-16 23:56,Качество,Возврат,Решено,Смирнов Д.,нет оценки
14,2024-09-25 11:15,,Доставка,Возврат,Отклонено,Иванов А.,5 из 5
94,02.09.2024 12:15,-,Поддержка,Претензия,В работе,Смирнов Д.,1
245,2024-09-28 09:45,02.10.2024 04:08,поддержка,Жалоба,Решено,Кузнецова О.,4
260,03.11.2024 19:45,04.11.2024 17:46,доставка,Вопрос,Решено,Иванов А.,5
112,2024-09-16 16:15,18.09.2024 16:18,Оплата,Вопрос,Решено,,2
289,2024-11-14 17:00,14.11.2024 23:42,оплата ,Жалоба,Решено,Петрова М.,1
120,28.11.2024 12:30,29.11.2024 11:02,Оплата,Возврат,решено,Смирнов Д.,
181,2024-11-13 09:00,14.11.2024 07:28,Поддержка,Жалоба,Решено,Смирнов Д.,5
218,10.09.2024 10:30,2024-09-11 09:14,Оплата,Возврат,Решено,Петрова М.,1
34,2024-11-04 14:45,-,доставка,Жалоба,В работе,Петрова М.,4
255,06.09.2024 14:30,07.09.2024 05:14, Доставка ,Вопрос,Решено,Петрова М.,
139,01.10.2024 10:00,,поддержка,Вопрос,В работе,Сидоров К.,4
295,2024-10-17 09:15,-,Оплата,Консультация,Отклонено,Иванов А.,4
11,21.10.2024 18:00,25.10.2024 12:13,оплата ,Вопрос,Решено,Сидоров К.,5
267,2024-09-03 11:45,2024-09-03 18:24,Поддержка,Претензия,решено,Сидоров К.,5 из 5
49,2024-09-04 09:45,2024-09-04 15:52,качество,Возврат,решено,Смирнов Д.,3
259,15.09.2024 16:45,16.09.2024 15:10,Доставка,Возврат,Решено,Сидоров К.,нет оценки
21,24.10.2024 09:45,24.10.2024 12:27,оплата ,Возврат,Решено,Иванов А.,5
226,2024-09-21 17:45,,Поддержка,Вопрос,В работе,Иванов А.,нет оценки
128,2024-10-04 09:00,2024-10-06 09:36,качество,Претензия,Решено,Иванов А.,5
3,2024-10-21 16:15,2024-10-21 18:48,Качество,Жалоба,Решено,Смирнов Д.,5
129,29.11.2024 14:30,2024-11-30 05:11,Качество,Жалоба,Решено,Кузнецова О.,1
53,2024-09-25 17:30,,поддержка,Жалоба,В работе,Сидоров К.,3
155,2024-10-11 12:45,2024-10-15 07:37,оплата ,Претензия,решено,Смирнов Д.,
240,17.11.2024 17:00,2024-11-17 23:50,поддержка,Вопрос,Решено,Сидоров К.,2
165,19.09.2024 16:15,20.09.2024 07:12,доставка,Жалоба,Решено,Сидоров К.,5 из 5
283,15.11.2024 14:45,16.11.2024 21:07,оплата ,Претензия,Решено,Петрова М.,4
268,2024-11-28 11:00,-,Поддержка,Возврат,В работе,Иванов А.,
220,19.10.2024 12:45,,доставка,Консультация,Отклонено,,нет оценки
258,2024-11-14 15:15,,Поддержка,Претензия,В работе,Смирнов Д.,5
143,16.10.2024 12:00,, Доставка ,Возврат,В работе,Иванов А.,2
96,2024-11-21 14:45,,оплата ,Возврат,Отклонено,Петрова М.,3
156,08.10.2024 14:45,,Качество,Вопрос,В работе,Сидоров К.,2
93,2024-09-16 19:45,18.09.2024 20:30,оплата ,Возврат,Решено,Кузнецова О.,1
247,19.10.2024 10:45,2024-10-19 12:58,Поддержка,Вопрос,решено,Петрова М.,2
232,09.11.2024 12:45,-,Качество,Консультация,Отклонено,Сидоров К.,
13,2024-09-17 18:45,2024-09-17 21:09,Качество,Консультация,Решено,Петрова М.,1
152,28.10.2024 15:45,29.10.2024 22:28,Поддержка,Претензия,Решено,Иванов А.,нет оценки
136,16.11.2024 16:30,,ПОДДЕРЖКА,Жалоба,Отклонено,Смирнов Д.,3
32,2024-09-05 11:15,,Качество,Возврат,В работе,Кузнецова О.,5 из 5
236,03.11.2024 12:00,,доставка,Претензия,Отклонено,Иванов А.,2
151,04.09.2024 18:15,05.09.2024 16:54,качество,Возврат,Решено,Кузнецова О.,4
126,01.10.2024 13:45,01.10.2024 20:22,Качество,Консультация,Решено,,5
106,2024-09-10 16:00,,поддержка,Консультация,Отклонено,Смирнов Д.,1
16,2024-09-09 11:15,-,Качество,Жалоба,Отклонено,,1
146,02.11.2024 15:30,, Доставка ,Претензия,В работе,Петрова М.,2
215,20.09.2024 13:30,2024-09-24 08:01,Оплата,Жалоба,Решено,Сидоров К.,4
234,2024-09-25 14:30,, Доставка ,Возврат,В работе,Кузнецова О.,4
299,2024-09-03 14:30,-, Доставка ,Возврат,Отклонено,Петрова М.,1
224,2024-10-19 12:15,-,поддержка,Консультация,Отклонено,Кузнецова О.,3
202,09.09.2024 18:15,10.09.2024 16:47,Качество,Жалоба,решено,Смирнов Д.,
161,25.11.2024 13:15,2024-11-29 07:45,поддержка,Вопрос,решено,,1
167,2024-11-01 12:30,2024-11-01 18:33,качество,Возврат,Решено,Иванов А.,5
259,15.09.2024 16:45,16.09.2024 15:10,Доставка,Возврат,Решено,Сидоров К.,нет оценки
201,2024-09-03 14:30,2024-09-03 16:56,Оплата,Консультация,Решено,Иванов А.,1
31,2024-11-27 12:15,,ПОДДЕРЖКА,Консультация,Отклонено,,5
180,16.09.2024 16:45,,поддержка,Консультация,Отклонено,Смирнов Д.,2
293,17.11.2024 18:30,18.11.2024 17:28, Доставка ,Жалоба,решено,Смирнов Д.,5 из 5
75,22.10.2024 17:15,2024-10-22 23:38,оплата ,Претензия,Решено,Петрова М.,5 из 5
268,2024-11-28 11:00,-,Поддержка,Возврат,В работе,Иванов А.,
61,10.10.2024 14:30,-,качество,Возврат,Отклонено,Иванов А.,1
178,03.11.2024 15:15,, Доставка ,Вопрос,В работе,Смирнов Д.,
217,27.10.2024 19:15,,ПОДДЕРЖКА,Вопрос,Отклонено,,4
221,22.09.2024 18:30,2024-09-22 21:22,оплата ,Консультация,решено,,5 из 5
17,2024-09-03 10:30,,Доставка,Жалоба,Отклонено,Сидоров К.,5
22,12.09.2024 19:00,,оплата ,Претензия,В работе,Кузнецова О.,5 из 5
290,23.09.2024 09:00,2024-09-24 07:01,ПОДДЕРЖКА,Возврат,Решено,,5
249,2024-09-19 10:15,-,качество,Вопрос,В работе,Петрова М.,4
70,03.11.2024 11:00,2024-11-04 01:52,качество,Претензия,Решено,Петрова М.,5 из 5
72,30.10.2024 14:00,30.10.2024 16:36,Доставка,Возврат,Решено,Сидоров К.,1
152,28.10.2024 15:45,29.10.2024 22:28,Поддержка,Претензия,Решено,Иванов А.,нет оценки
62,2024-10-02 18:00,03.10.2024 08:43,поддержка,Возврат,решено,Смирнов Д.,
272,2024-11-07 19:45,08.11.2024 10:00,поддержка,Претензия,решено,Кузнецова О.,4
168,24.09.2024 14:45,28.09.2024 08:57,поддержка,Вопрос,решено,Смирнов Д.,5
240,17.11.2024 17:00,2024-11-17 23:50,поддержка,Вопрос,Решено,Сидоров К.,2
107,21.11.2024 09:15,2024-11-21 23:17,оплата ,Претензия,решено,Петрова М.,4
235,2024-11-13 11:00,-,Оплата,Вопрос,Отклонено,Смирнов Д.,4
242,2024-11-26 14:45,2024-11-28 15:11,Качество,Вопрос,решено,Кузнецова О.,3
252,17.11.2024 16:45,2024-11-17 23:15,Оплата,Возврат,Решено,Сидоров К.,5 из 5
295,2024-10-17 09:15,-,Оплата,Консультация,Отклонено,Иванов А.,4
65,16.10.2024 17:15,16.10.2024 23:23,оплата ,Претензия,Решено,Сидоров К.,1
169,21.10.2024 17:00,22.10.2024 07:42,качество,Жалоба,решено,Кузнецова О.,2
211,2024-11-01 12:45,2024-11-01 19:22,Качество,Вопрос,Решено,Смирнов Д.,
99,13.10.2024 15:00,-,оплата ,Консультация,Отклонено,Иванов А.,2
78,2024-11-09 10:30,09.11.2024 16:36, Доставка ,Возврат,Решено,,5
145,16.09.2024 14:15,,поддержка,Претензия,В работе,Иванов А.,4
222,2024-10-20 16:45,-,поддержка,Вопрос,В работе,Иванов А.,нет оценки
12,2024-10-20 10:00,2024-10-20 16:40,Поддержка,Консультация,Решено,Кузнецова О.,
176,2024-10-18 14:15,,Оплата,Возврат,Отклонено,Кузнецова О.,5 из 5
2,2024-11-18 11:00,,Оплата,Возврат,Отклонено,Смирнов Д.,4
158,2024-11-01 09:15,03.11.2024 10:10,качество,Претензия,Решено,Смирнов Д.,
12,2024-10-20 10:00,2024-10-20 16:40,Поддержка,Консультация,Решено,Кузнецова О.,
248,18.09.2024 11:30,2024-09-18 17:38,Поддержка,Возврат,Решено,Сидоров К.,
82,02.10.2024 11:45,02.10.2024 18:09,Доставка,Претензия,решено,Сидоров К.,1
48,26.09.2024 18:30,,доставка,Претензия,В работе,Иванов А.,2
246,25.11.2024 12:30,2024-11-25 18:48,Доставка,Претензия,решено,Иванов А.,5
212,28.11.2024 14:30,2024-11-29 13:07,ПОДДЕРЖКА,Возврат,решено,Смирнов Д.,3
231,18.11.2024 10:15,19.11.2024 16:59,поддержка,Вопрос,Решено,,5
67,2024-11-12 18:15,,Оплата,Жалоба,В работе,,2
207,2024-09-15 19:45,,оплата ,Консультация,В работе,Иванов А.,3
83,2024-09-15 13:15,17.09.2024 14:03,Доставка,Вопрос,решено,Иванов А.,нет оценки
166,03.09.2024 13:15,-,Поддержка,Жалоба,В работе,Иванов А.,1
122,10.09.2024 17:00,11.09.2024 07:18, Доставка ,Вопрос,Решено,Петрова М.,4
227,2024-10-02 11:15,04.10.2024 12:02,Качество,Консультация,решено,Петрова М.,3
42,2024-10-11 10:15,-, Доставка ,Возврат,Отклонено,Иванов А.,1
190,2024-10-15 18:30,,Качество,Вопрос,В работе,Сидоров К.,4
8,2024-10-05 14:00,,доставка,Жалоба,В работе,Петрова М.,5 из 5
163,08.11.2024 10:45,,Поддержка,Возврат,В работе,Сидоров К.,3
263,2024-11-25 11:15,,ПОДДЕРЖКА,Вопрос,В работе,,4
203,23.10.2024 16:00,2024-10-24 06:10,доставка,Консультация,решено,Петрова М.,3
300,13.09.2024 16:15,-,поддержка,Претензия,В работе,Сидоров К.,2
184,2024-10-14 13:30,,Качество,Претензия,Отклонено,Сидоров К.,5 из 5
205,2024-09-15 15:15,-,доставка,Претензия,В работе,Сидоров К.,5 из 5
186,2024-09-09 11:30,09.09.2024 13:32,доставка,Претензия,решено,Петрова М.,1
9,2024-09-13 09:00,,ПОДДЕРЖКА,Консультация,Отклонено,Петрова М.,2
177,2024-09-13 14:15,2024-09-15 14:35,поддержка,Претензия,Решено,Петрова М.,
30,04.09.2024 13:15,2024-09-05 19:55,Оплата,Вопрос,решено,Иванов А.,4
85,23.09.2024 13:45,,Оплата,Возврат,В работе,Кузнецова О.,
115,12.10.2024 11:00,,Поддержка,Консультация,Отклонено,Петрова М.,3
97,2024-11-26 19:15,27.11.2024 01:17,Качество,Возврат,решено,Петрова М.,4
135,2024-10-19 15:00,2024-10-20 05:15,Качество,Претензия,решено,Петрова М.,нет оценки
95,25.11.2024 10:30,2024-11-25 17:16,качество,Консультация,решено,Кузнецова О.,1
52,18.10.2024 15:15,2024-10-18 17:47,поддержка,Консультация,Решено,Смирнов Д.,4
91,23.10.2024 17:45,25.10.2024 18:04,доставка,Консультация,решено,Сидоров К.,5 из 5
171,2024-10-10 10:45,12.10.2024 10:49,Качество,Претензия,Решено,Кузнецова О.,1
160,2024-09-17 18:45,18.09.2024 17:38,Качество,Претензия,решено,Смирнов Д.,3
277,2024-09-06 10:15,06.09.2024 12:45,доставка,Претензия,решено,,5 из 5
38,11.11.2024 13:15,12.11.2024 04:13,оплата ,Жалоба,Решено,Сидоров К.,5 из 5
110,28.11.2024 15:45,29.11.2024 06:42,Доставка,Вопрос,Решено,Иванов А.,5 из 5
113,21.10.2024 12:00,-,Качество,Претензия,В работе,Смирнов Д.,3
288,2024-09-10 09:30,11.09.2024 08:14,качество,Жалоба,Решено,Сидоров К.,5 из 5
10,17.09.2024 15:45,2024-09-17 21:58,Доставка,Жалоба,Решено,Петрова М.,1
173,13.11.2024 11:15,,Поддержка,Претензия,В работе,Сидоров К.,1
229,23.09.2024 17:30,,качество,Претензия,В работе,Иванов А.,3
111,08.10.2024 18:45,-,оплата ,Возврат,Отклонено,Петрова М.,1
256,14.11.2024 18:45,-,Поддержка,Претензия,Отклонено,Петрова М.,1
125,04.11.2024 19:15,2024-11-06 01:25,ПОДДЕРЖКА,Консультация,Решено,Сидоров К.,2
238,2024-10-25 09:45,29.10.2024 04:21,Оплата,Жалоба,Решено,Иванов А.,4
36,2024-09-05 16:30,06.09.2024 06:47,доставка,Претензия,Решено,Иванов А.,2
89,2024-09-17 10:30,-,ПОДДЕРЖКА,Возврат,В работе,,нет оценки
29,2024-10-06 18:30,-,поддержка,Претензия,В работе,Петрова М.,3
280,2024-09-27 14:45,2024-09-28 05:05,качество,Консультация,решено,Иванов А.,5 из 5
223,29.11.2024 16:15,,качество,Возврат,В работе,Сидоров К.,5
230,2024-10-05 09:30,-, Доставка ,Консультация,В работе,Петрова М.,5 из 5
228,18.10.2024 14:30,22.10.2024 09:15,Качество,Вопрос,Решено,Иванов А.,4
200,13.09.2024 10:00,17.09.2024 04:44,поддержка,Претензия,решено,Петрова М.,4
76,2024-11-12 14:45,2024-11-12 17:22,ПОДДЕРЖКА,Вопрос,Решено,Иванов А.,4
7,01.09.2024 12:15,02.09.2024 03:00,оплата ,Жалоба,Решено,,4
58,13.09.2024 13:30,,ПОДДЕРЖКА,Возврат,В работе,Смирнов Д.,4
273,2024-11-27 15:30,2024-11-28 05:30,Доставка,Консультация,Решено,Петрова М.,3
271,2024-10-17 12:45,,Доставка,Вопрос,В работе,Сидоров К.,
183,30.09.2024 11:15,01.10.2024 17:47, Доставка ,Возврат,Решено,,4
265,2024-10-20 13:30,21.10.2024 12:19,поддержка,Претензия,решено,Кузнецова О.,5
149,03.11.2024 18:30,-,доставка,Возврат,Отклонено,Иванов А.,1
20,10.09.2024 10:45,2024-09-10 16:47,доставка,Претензия,Решено,Иванов А.,
159,28.11.2024 15:30,,Поддержка,Жалоба,В работе,Смирнов Д.,3
285,2024-11-15 14:30,16.11.2024 04:46, Доставка ,Консультация,Решено,Сидоров К.,5
264,2024-10-02 09:00,03.10.2024 07:30,доставка,Вопрос,Решено,Сидоров К.,3
219,13.09.2024 15:30,2024-09-13 17:37,поддержка,Возврат,Решено,Кузнецова О.,нет оценки
279,29.09.2024 17:45,,доставка,Вопрос,Отклонено,Кузнецова О.,5
172,10.10.2024 17:00,,оплата ,Возврат,Отклонено,Иванов А.,1
274,2024-09-24 17:30,25.09.2024 15:50,ПОДДЕРЖКА,Возврат,Решено,Кузнецова О.,5
127,07.09.2024 18:45,2024-09-08 01:23,Оплата,Претензия,решено,,5 из 5
57,18.11.2024 10:15,,Качество,Претензия,В работе,Иванов А.,5
39,2024-09-19 17:30,2024-09-20 07:56,Доставка,Консультация,Решено,Иванов А.,5 из 5
100,04.10.2024 14:15,,Оплата,Претензия,В работе,Петрова М.,4
298,2024-09-03 14:15,,качество,Вопрос,В работе,Иванов А.,1
117,27.09.2024 12:30,27.09.2024 19:23, Доставка ,Консультация,Решено,Петрова М.,5
284,21.10.2024 13:15,,Качество,Претензия,Отклонено,Иванов А.,5
257,26.11.2024 18:15,-,Поддержка,Жалоба,Отклонено,Смирнов Д.,3
204,2024-09-19 18:15,-,Доставка,Жалоба,Отклонено,Петрова М.,5 из 5
47,2024-10-20 10:45,-,поддержка,Возврат,Отклонено,Иванов А.,2
