application_id,age,income,experience_years,credit_history_years,existing_loans,loan_amount,region,employment_type,default_true,default_proba
45,60,54800,35,1,1,18000,Регион,Наёмный труд,0,0.119
46,62,50400,39,3,1,95000,Регион,Наёмный труд,0,0.245
47,46,47600,21,5,1,79000,Регион,Наёмный труд,0,0.398
48,60,39100,40,4,1,87000,Регион,Наёмный труд,0,0.371
49,21,31200,0,5,1,83000,Регион,Наёмный труд,1,0.577
50,44,46900,24,0,1,176000,Москва,Наёмный труд,0,0.514
51,32,74600,7,7,0,88000,Регион,Наёмный труд,0,0.241
52,34,61600,14,1,0,40000,Регион,Наёмный труд,0,0.293
53,24,43500,0,5,2,61000,Регион,Без работы,1,0.813
54,47,27000,21,14,3,130000,Москва,Самозанятый,1,0.695
55,63,67100,40,14,2,101000,Москва,Наёмный труд,0,0.185
56,25,34500,3,9,0,83000,Москва,Наёмный труд,0,0.437
57,46,56700,19,13,1,91000,Москва,Наёмный труд,0,0.286
58,27,50300,0,0,1,170000,Регион,Самозанятый,1,0.592
59,47,44600,26,10,0,30000,Регион,ИП,0,0.188
60,58,24600,36,8,1,113000,Регион,Наёмный труд,0,0.582
61,44,51600,19,11,0,130000,Москва,Без работы,0,0.633
62,36,97800,16,7,3,277000,Москва,Наёмный труд,0,0.124
63,36,89000,16,9,1,56000,Регион,Наёмный труд,0,0.379
64,45,29700,19,9,0,115000,Регион,Наёмный труд,0,0.468
65,40,30600,18,11,0,190000,Регион,Самозанятый,0,0.552
66,61,72100,35,12,0,33000,Москва,Наёмный труд,0,0.06
67,25,35900,4,2,0,28000,Москва,Наёмный труд,0,0.432
68,57,27100,30,10,1,116000,Регион,Наёмный труд,0,0.572
69,41,56000,19,5,1,47000,Регион,Самозанятый,0,0.31
70,25,70300,0,0,1,293000,Регион,Наёмный труд,0,0.442
71,34,48900,11,2,0,186000,Регион,Без работы,1,0.679
72,30,35300,3,11,0,120000,Регион,Наёмный труд,0,0.39
73,30,54200,7,1,0,140000,Регион,Наёмный труд,0,0.45
74,42,69800,22,12,0,44000,Санкт-Петербург,Без работы,0,0.288
75,47,56400,21,12,2,110000,Москва,ИП,0,0.283
76,56,43900,29,10,1,84000,Москва,Наёмный труд,0,0.384
77,54,49000,29,2,2,59000,Регион,Наёмный труд,0,0.374
78,27,46600,7,10,1,62000,Санкт-Петербург,Наёмный труд,0,0.33
79,34,53900,11,11,3,39000,Регион,Наёмный труд,0,0.191
80,31,63400,11,13,1,36000,Москва,ИП,0,0.163
81,23,53200,0,2,2,77000,Регион,Самозанятый,0,0.571
82,56,53400,32,1,0,105000,Москва,Наёмный труд,0,0.363
83,49,51600,27,13,1,116000,Москва,Наёмный труд,0,0.336
84,57,33300,32,14,3,190000,Москва,Наёмный труд,0,0.681
85,20,31300,0,8,0,57000,Москва,Самозанятый,1,0.443
86,49,34200,28,13,2,161000,Регион,Наёмный труд,0,0.635
87,46,31300,26,13,1,73000,Регион,Наёмный труд,0,0.514
88,52,80500,27,10,0,50000,Москва,Наёмный труд,0,0.134
89,53,80800,32,2,2,71000,Регион,Наёмный труд,0,0.169
90,64,19500,43,10,1,35000,Регион,Без работы,0,0.667
91,47,38700,24,1,1,74000,Регион,Без работы,1,0.781
92,43,45400,17,4,2,86000,Регион,Без работы,0,0.762
93,29,51100,2,2,1,43000,Москва,Без работы,1,0.595
94,55,22300,28,9,1,110000,Регион,Наёмный труд,0,0.58
95,30,70200,7,4,1,42000,Регион,Самозанятый,0,0.39
96,51,91200,29,9,0,189000,Москва,Наёмный труд,0,0.311
97,62,68500,41,5,0,175000,Регион,Без работы,0,0.683
98,42,25800,22,5,0,66000,Регион,Наёмный труд,0,0.482
99,39,39900,12,1,1,35000,Регион,Наёмный труд,1,0.523
100,55,83900,30,13,2,229000,Регион,Наёмный труд,0,0.172
101,54,176000,29,1,1,185000,Санкт-Петербург,Наёмный труд,0,0.053
102,45,33200,25,8,1,53000,Регион,Наёмный труд,0,0.459
103,49,58700,27,7,1,160000,Регион,Наёмный труд,1,0.376
104,45,53700,18,8,0,236000,Регион,Наёмный труд,0,0.46
105,41,47100,20,7,2,29000,Санкт-Петербург,Самозанятый,0,0.388
106,52,57400,32,13,0,103000,Регион,Самозанятый,0,0.219
107,60,111900,38,4,2,387000,Регион,Наёмный труд,0,0.031
108,59,31800,37,2,0,230000,Москва,Самозанятый,0,0.593
109,59,94800,39,13,0,111000,Регион,Наёмный труд,0,0.114
110,25,40400,0,7,0,80000,Санкт-Петербург,Самозанятый,0,0.506
111,63,44100,43,8,1,401000,Регион,Наёмный труд,0,0.704
112,39,30500,18,11,0,271000,Москва,Наёмный труд,0,0.71
113,58,45900,33,4,1,34000,Регион,Наёмный труд,0,0.33
114,48,27500,27,1,1,154000,Регион,ИП,1,0.65
115,56,106700,35,14,2,91000,Москва,ИП,0,0.056
116,54,58400,28,10,0,118000,Регион,Самозанятый,0,0.257
117,35,28000,9,0,0,173000,Москва,Наёмный труд,1,0.693
118,25,53000,1,13,3,39000,Регион,Наёмный труд,0,0.182
119,63,75300,40,9,0,164000,Санкт-Петербург,Наёмный труд,0,0.173
120,30,31600,7,2,1,129000,Москва,Наёмный труд,0,0.679
121,54,73900,27,14,2,119000,Регион,Без работы,0,0.591
122,59,167300,36,2,1,189000,Москва,Наёмный труд,0,0.034
123,51,66800,31,6,0,106000,Регион,Самозанятый,0,0.279
124,33,56700,13,4,1,187000,Регион,Наёмный труд,0,0.465
125,33,22400,12,14,0,79000,Регион,Наёмный труд,0,0.46
126,44,88800,17,10,0,105000,Регион,Наёмный труд,0,0.265
127,41,247600,18,12,1,159000,Регион,Наёмный труд,0,0.106
128,46,52600,26,1,0,216000,Регион,Наёмный труд,0,0.289
129,22,33400,0,10,3,115000,Регион,Без работы,1,0.892
130,31,23500,5,10,0,70000,Регион,Без работы,0,0.763
131,25,54000,5,14,0,49000,Регион,Наёмный труд,1,0.122
132,27,47100,3,5,1,104000,Регион,Самозанятый,0,0.533
133,46,39400,22,6,0,84000,Регион,Наёмный труд,0,0.41
134,25,25300,5,5,0,67000,Санкт-Петербург,Наёмный труд,1,0.523
135,21,35400,0,13,1,55000,Москва,Наёмный труд,0,0.369
136,51,27200,24,13,0,132000,Регион,Наёмный труд,0,0.524
137,32,28000,10,9,0,82000,Регион,Наёмный труд,0,0.472
138,44,58900,20,11,1,61000,Регион,Наёмный труд,0,0.267
139,56,66400,29,9,3,50000,Москва,Наёмный труд,0,0.274
140,63,55000,39,12,2,111000,Санкт-Петербург,Наёмный труд,0,0.213
141,26,41000,0,3,1,254000,Москва,Без работы,0,0.93
142,60,25300,34,4,0,142000,Москва,Наёмный труд,0,0.543
143,45,37800,20,5,1,129000,Регион,Наёмный труд,0,0.575
144,45,44700,25,1,0,65000,Санкт-Петербург,Наёмный труд,0,0.359
145,50,43600,27,10,0,186000,Регион,Наёмный труд,0,0.422
146,22,47900,0,6,0,73000,Регион,Наёмный труд,0,0.465
147,21,62400,0,13,2,56000,Москва,Наёмный труд,0,0.293
148,51,32800,27,3,1,57000,Регион,Самозанятый,0,0.469
149,20,124900,0,8,1,90000,Регион,Наёмный труд,0,0.144
150,56,33500,31,12,0,61000,Регион,Наёмный труд,0,0.284
151,48,16600,28,6,1,267000,Регион,Наёмный труд,1,0.897
152,30,56700,7,14,2,43000,Регион,Наёмный труд,0,0.18
153,64,102100,41,7,0,172000,Регион,Наёмный труд,0,0.129
154,52,44400,29,10,1,122000,Санкт-Петербург,Наёмный труд,0,0.394
155,64,41000,44,7,0,229000,Регион,Наёмный труд,0,0.58
156,34,72600,12,11,2,74000,Регион,Наёмный труд,0,0.257
157,58,46600,34,12,0,124000,Регион,Наёмный труд,0,0.282
158,51,44500,27,3,1,91000,Регион,Самозанятый,0,0.445
159,64,44100,37,0,1,61000,Санкт-Петербург,ИП,0,0.151
160,21,47300,0,9,0,90000,Москва,Наёмный труд,0,0.303
161,25,43800,0,3,0,102000,Санкт-Петербург,Наёмный труд,0,0.502
162,46,43200,22,14,1,49000,Регион,Наёмный труд,0,0.251
163,34,65500,13,4,0,115000,Регион,Без работы,1,0.625
164,57,78900,30,13,2,252000,Санкт-Петербург,Наёмный труд,0,0.277
165,21,19800,0,7,2,69000,Регион,Без работы,1,0.877
166,45,84200,19,8,0,24000,Регион,Наёмный труд,0,0.141
167,64,71400,39,7,0,67000,Москва,Наёмный труд,0,0.107
168,28,61000,5,0,0,215000,Регион,Наёмный труд,0,0.428
169,53,96000,30,4,0,197000,Регион,Без работы,0,0.525
170,33,52800,9,8,1,155000,Регион,Наёмный труд,0,0.48
171,53,38900,33,7,2,274000,Регион,Самозанятый,0,0.834
172,40,22300,20,3,1,86000,Москва,Без работы,0,0.816
173,56,56500,36,12,2,67000,Регион,Без работы,0,0.591
174,55,44300,33,0,1,244000,Регион,Наёмный труд,0,0.696
175,39,77100,16,11,1,72000,Регион,Наёмный труд,0,0.197
176,21,118700,1,3,1,317000,Санкт-Петербург,ИП,0,0.271
177,26,39300,4,11,0,73000,Регион,Наёмный труд,0,0.352
178,36,21200,15,8,1,81000,Москва,Наёмный труд,0,0.645
179,60,42900,33,8,1,226000,Регион,Наёмный труд,1,0.558
180,57,114600,31,12,0,34000,Москва,ИП,0,0.052
181,25,31200,2,7,0,375000,Санкт-Петербург,Наёмный труд,1,0.846
182,39,109900,13,14,0,151000,Регион,Наёмный труд,0,0.113
183,61,35000,37,8,0,251000,Регион,Наёмный труд,0,0.686
184,36,27000,12,4,1,49000,Регион,Без работы,0,0.755
185,34,57200,13,8,0,55000,Регион,Наёмный труд,0,0.287
186,54,48400,30,7,0,204000,Москва,Наёмный труд,0,0.439
187,42,69800,19,12,1,75000,Регион,ИП,0,0.212
188,63,34300,41,3,1,215000,Москва,Наёмный труд,0,0.649
189,53,60200,28,1,1,135000,Регион,Наёмный труд,0,0.387
190,41,50300,14,1,2,39000,Регион,Наёмный труд,0,0.384
191,51,43500,26,14,0,88000,Регион,Наёмный труд,0,0.301
192,22,115100,0,5,0,149000,Санкт-Петербург,ИП,0,0.253
193,52,64200,27,11,0,175000,Регион,Наёмный труд,0,0.285
194,60,54600,36,4,0,302000,Регион,ИП,1,0.441
195,30,22800,3,7,1,117000,Регион,Наёмный труд,0,0.667
196,60,41700,33,12,0,69000,Москва,Наёмный труд,0,0.258
197,60,44400,40,9,1,110000,Регион,Наёмный труд,0,0.276
198,20,50900,0,4,2,64000,Санкт-Петербург,Самозанятый,0,0.434
199,47,43600,20,6,0,31000,Регион,Наёмный труд,0,0.362
200,34,59800,14,9,1,110000,Санкт-Петербург,Наёмный труд,0,0.31
201,23,61400,0,12,1,38000,Москва,Наёмный труд,0,0.177
202,32,13000,11,10,1,81000,Регион,Наёмный труд,1,0.585
203,46,51700,24,5,1,97000,Регион,Наёмный труд,1,0.377
204,63,46800,41,14,0,133000,Регион,Наёмный труд,0,0.42
205,25,49100,0,2,1,119000,Регион,Наёмный труд,0,0.543
206,28,43100,1,12,0,314000,Регион,Самозанятый,0,0.638
207,50,31600,26,9,1,135000,Регион,Самозанятый,0,0.611
208,41,30000,15,0,0,129000,Регион,Наёмный труд,0,0.621
209,39,82900,16,12,1,81000,Регион,Наёмный труд,1,0.145
210,57,37100,35,2,0,68000,Санкт-Петербург,Наёмный труд,0,0.35
211,29,63600,5,2,0,35000,Санкт-Петербург,Наёмный труд,0,0.317
212,36,40300,9,4,1,188000,Москва,Наёмный труд,0,0.649
213,26,44700,1,7,2,38000,Москва,Наёмный труд,0,0.407
214,40,22600,15,14,1,96000,Регион,Наёмный труд,0,0.58
215,49,49200,25,4,0,364000,Регион,Самозанятый,0,0.568
216,32,18300,7,9,0,167000,Москва,Самозанятый,1,0.701
217,56,52300,36,8,0,44000,Регион,ИП,0,0.076
218,36,73600,16,7,2,62000,Москва,Наёмный труд,0,0.366
219,56,26700,30,7,1,121000,Санкт-Петербург,Самозанятый,1,0.596
220,62,112300,36,1,1,53000,Регион,ИП,0,0.052
221,34,57700,9,2,0,138000,Москва,Без работы,0,0.639
222,47,24400,21,0,3,121000,Регион,Наёмный труд,1,0.773
223,25,34800,5,11,0,102000,Регион,Наёмный труд,0,0.397
224,46,48100,19,11,1,129000,Санкт-Петербург,ИП,0,0.338
225,48,49600,26,5,1,47000,Москва,Наёмный труд,0,0.256
226,39,19300,12,4,1,93000,Регион,Наёмный труд,1,0.702
227,54,22800,34,12,1,116000,Регион,Без работы,1,0.823
228,27,69800,3,7,1,248000,Регион,Наёмный труд,0,0.48
229,28,29400,3,1,1,65000,Регион,Наёмный труд,0,0.578
230,21,43600,0,12,1,89000,Москва,Наёмный труд,0,0.412
231,31,59900,7,0,0,91000,Регион,Самозанятый,0,0.419
232,33,52900,13,14,0,286000,Регион,Без работы,0,0.768
233,49,76900,29,3,2,380000,Регион,Наёмный труд,0,0.319
234,30,31600,4,1,0,194000,Регион,ИП,0,0.675
235,31,23800,6,12,1,299000,Москва,ИП,0,0.853
236,23,94100,0,6,3,75000,Регион,Наёмный труд,0,0.459
237,20,35500,0,0,2,67000,Москва,Наёмный труд,0,0.54
238,61,80300,34,1,0,163000,Регион,Без работы,0,0.493
239,63,42500,36,0,1,305000,Москва,Наёмный труд,0,0.645
240,37,81000,11,10,1,88000,Регион,Наёмный труд,0,0.16
241,42,75900,20,1,0,149000,Регион,Наёмный труд,0,0.271
242,57,254200,35,2,0,35000,Санкт-Петербург,Самозанятый,0,0.04
243,57,84900,37,5,0,289000,Регион,ИП,0,0.16
244,59,42500,38,5,0,83000,Санкт-Петербург,Наёмный труд,0,0.246
245,59,83300,39,5,1,191000,Регион,ИП,0,0.136
246,20,32300,0,11,2,142000,Регион,ИП,1,0.776
247,28,63500,8,10,0,88000,Регион,Самозанятый,1,0.255
248,60,46700,39,6,1,118000,Регион,Самозанятый,1,0.267
249,55,81600,35,7,0,135000,Москва,ИП,0,0.154
250,53,43600,29,6,2,144000,Регион,Наёмный труд,0,0.56
251,23,15100,0,10,0,173000,Регион,Наёмный труд,1,0.826
252,37,57300,15,9,0,108000,Регион,Самозанятый,0,0.29
253,26,45800,0,10,1,67000,Москва,Наёмный труд,0,0.415
254,22,80100,0,5,0,181000,Москва,Наёмный труд,0,0.388
255,51,62900,31,2,0,176000,Москва,Наёмный труд,0,0.339
256,24,55400,0,4,1,173000,Москва,Наёмный труд,0,0.53
257,49,36300,25,14,0,99000,Москва,Наёмный труд,0,0.367
258,61,37200,41,11,0,265000,Регион,Без работы,0,0.914
259,43,43400,20,4,1,106000,Регион,Наёмный труд,0,0.497
260,26,59700,0,1,0,230000,Санкт-Петербург,Наёмный труд,0,0.498
261,37,112100,16,9,0,102000,Регион,ИП,0,0.107
262,37,71000,14,7,1,73000,Регион,ИП,0,0.306
263,28,115300,2,13,3,81000,Регион,ИП,0,0.162
264,34,42300,14,8,4,85000,Москва,Наёмный труд,0,0.613
265,50,53300,27,7,0,130000,Москва,Наёмный труд,0,0.372
266,21,24000,0,3,3,109000,Регион,Наёмный труд,1,0.677
267,31,58200,5,3,0,15000,Регион,Наёмный труд,0,0.136
268,33,54200,8,9,0,107000,Регион,Наёмный труд,0,0.317
269,52,78000,30,6,0,85000,Регион,ИП,0,0.166
270,54,57600,33,11,0,146000,Регион,Наёмный труд,0,0.274
271,63,70100,36,14,1,28000,Москва,Наёмный труд,0,0.062
272,42,58000,18,3,1,59000,Регион,ИП,0,0.356
273,33,51800,9,1,0,59000,Регион,Наёмный труд,0,0.317
274,39,47500,19,1,1,93000,Регион,ИП,0,0.434
275,48,52900,21,4,2,162000,Санкт-Петербург,Наёмный труд,0,0.503
276,30,27200,9,4,0,36000,Москва,Самозанятый,0,0.456
277,24,42700,0,5,0,122000,Москва,Наёмный труд,0,0.536
278,54,37600,33,5,0,214000,Москва,Наёмный труд,1,0.544
279,46,42300,20,8,1,24000,Санкт-Петербург,Наёмный труд,0,0.406
280,33,22300,10,9,1,42000,Регион,Наёмный труд,0,0.416
281,29,86300,5,8,0,130000,Москва,Самозанятый,0,0.278
282,31,46300,8,1,0,106000,Москва,Наёмный труд,0,0.41
283,23,24800,1,4,0,219000,Регион,ИП,0,0.784
284,48,112800,25,6,1,57000,Санкт-Петербург,ИП,0,0.135
285,35,36200,10,8,1,59000,Санкт-Петербург,Без работы,0,0.617
286,41,38000,20,1,0,155000,Москва,Без работы,1,0.739
287,53,43200,32,8,1,108000,Москва,Наёмный труд,0,0.446
288,43,24800,17,3,2,235000,Москва,Без работы,1,0.948
289,34,35500,12,8,0,83000,Регион,Без работы,0,0.714
290,48,37200,22,0,0,72000,Санкт-Петербург,Наёмный труд,1,0.44
291,34,52100,14,14,2,218000,Регион,Без работы,1,0.711
292,48,31600,25,1,1,76000,Москва,ИП,0,0.548
293,29,28600,9,13,2,40000,Санкт-Петербург,Наёмный труд,1,0.305
294,34,21100,7,7,2,119000,Регион,Наёмный труд,1,0.761
295,28,87300,5,7,1,137000,Регион,Самозанятый,0,0.384
296,46,33700,24,11,1,120000,Москва,Наёмный труд,0,0.553
297,47,26800,27,3,0,313000,Регион,Наёмный труд,1,0.81
298,29,53600,8,11,1,142000,Регион,Наёмный труд,0,0.38
299,34,65600,7,1,1,337000,Москва,Наёмный труд,0,0.518
300,32,39300,5,3,2,171000,Санкт-Петербург,Наёмный труд,0,0.734
301,55,40400,31,0,1,182000,Москва,Без работы,1,0.798
302,31,43200,7,14,1,32000,Регион,Самозанятый,0,0.358
303,61,44400,41,6,1,256000,Регион,Наёмный труд,0,0.709
304,40,53000,19,12,0,59000,Регион,ИП,0,0.123
305,38,24900,16,5,0,22000,Москва,Наёмный труд,0,0.217
306,40,94700,16,13,2,101000,Москва,Наёмный труд,0,0.211
307,53,42000,31,4,1,92000,Регион,ИП,0,0.4
308,27,45700,5,1,1,36000,Регион,Без работы,0,0.713
309,55,31600,30,11,0,242000,Санкт-Петербург,ИП,1,0.655
310,61,24800,41,7,0,65000,Регион,ИП,0,0.254
311,34,58200,10,8,0,257000,Москва,Без работы,1,0.738
312,47,48700,26,10,0,64000,Москва,Наёмный труд,0,0.212
313,64,58500,37,6,0,117000,Регион,Наёмный труд,0,0.175
314,44,32400,23,6,3,54000,Санкт-Петербург,Наёмный труд,0,0.488
315,21,51400,0,14,1,279000,Москва,Наёмный труд,0,0.561
316,39,76700,17,3,1,129000,Регион,Наёмный труд,0,0.298
317,55,53400,35,13,1,116000,Москва,Наёмный труд,0,0.31
318,33,18800,12,9,0,128000,Москва,Наёмный труд,0,0.611
319,35,57500,12,3,1,79000,Регион,Наёмный труд,1,0.426
320,57,61200,34,4,0,144000,Регион,Без работы,0,0.576
321,45,59600,21,12,1,30000,Регион,Наёмный труд,0,0.241
322,49,33600,27,0,1,220000,Москва,Наёмный труд,1,0.729
323,56,52700,30,6,0,354000,Регион,Наёмный труд,1,0.571
324,62,65900,38,4,1,58000,Москва,Наёмный труд,1,0.196
325,28,48400,6,5,0,165000,Регион,Наёмный труд,0,0.436
326,34,21400,9,13,2,75000,Санкт-Петербург,Наёмный труд,0,0.654
327,53,44800,30,6,0,74000,Регион,Наёмный труд,0,0.369
328,40,50400,14,12,0,136000,Москва,Наёмный труд,1,0.263
329,55,72500,29,13,1,121000,Регион,Наёмный труд,0,0.212
330,35,64900,15,9,0,100000,Санкт-Петербург,ИП,0,0.269
331,64,68600,41,12,1,75000,Регион,Наёмный труд,0,0.166
332,37,43600,12,11,3,69000,Регион,Самозанятый,0,0.504
333,23,21800,2,6,0,102000,Регион,Наёмный труд,0,0.584
334,40,39500,18,7,1,121000,Москва,Наёмный труд,0,0.57
335,26,91300,2,8,1,253000,Регион,Наёмный труд,0,0.377
336,24,42800,2,7,1,150000,Регион,Самозанятый,0,0.675
337,23,51300,0,9,0,70000,Москва,Самозанятый,0,0.388
338,55,39500,34,10,0,98000,Регион,Наёмный труд,0,0.344
339,33,33900,13,13,0,92000,Регион,Самозанятый,0,0.422
340,62,61800,41,12,1,103000,Санкт-Петербург,Наёмный труд,0,0.145
341,39,40800,19,14,2,99000,Санкт-Петербург,Без работы,0,0.704
342,30,47100,9,12,0,87000,Регион,ИП,0,0.267
343,22,123200,0,9,1,127000,Регион,Наёмный труд,0,0.201
344,31,30800,6,4,0,86000,Санкт-Петербург,Наёмный труд,0,0.536
345,27,74700,2,2,0,153000,Регион,Наёмный труд,1,0.32
346,22,39000,0,11,1,63000,Регион,Наёмный труд,0,0.45
347,38,72400,13,9,1,31000,Санкт-Петербург,Самозанятый,0,0.139
348,55,92400,29,3,0,79000,Регион,Наёмный труд,0,0.243
349,47,48700,23,13,0,58000,Регион,ИП,0,0.147
350,28,36300,3,13,2,118000,Санкт-Петербург,Самозанятый,0,0.615
351,49,55400,27,14,0,23000,Регион,Без работы,0,0.181
352,28,38200,6,0,2,150000,Регион,Самозанятый,0,0.768
353,36,40800,12,2,1,62000,Регион,Самозанятый,0,0.541
354,32,77100,11,9,2,53000,Регион,Наёмный труд,0,0.294
355,37,66700,16,11,0,23000,Санкт-Петербург,Наёмный труд,0,0.054
356,32,52300,9,8,0,44000,Санкт-Петербург,Наёмный труд,0,0.122
357,60,29600,36,11,1,63000,Регион,Наёмный труд,0,0.364
358,23,38200,2,9,0,78000,Регион,Наёмный труд,0,0.446
359,27,57400,1,9,0,49000,Москва,Самозанятый,0,0.262
360,55,64500,33,6,0,168000,Регион,Наёмный труд,1,0.338
361,34,29800,8,2,0,157000,Регион,Наёмный труд,0,0.6
362,55,48200,31,10,4,146000,Санкт-Петербург,Наёмный труд,1,0.493
363,56,45300,31,13,0,107000,Регион,Наёмный труд,0,0.323
364,33,30300,6,2,0,137000,Москва,Наёмный труд,0,0.586
365,58,38000,35,11,1,103000,Регион,Без работы,0,0.721
366,38,50200,17,8,0,89000,Регион,Наёмный труд,0,0.324
367,34,60500,13,3,0,78000,Санкт-Петербург,Без работы,0,0.518
368,27,35600,0,14,0,41000,Москва,ИП,0,0.189
369,27,24400,4,9,2,154000,Регион,Самозанятый,1,0.8
370,62,86000,42,8,1,79000,Санкт-Петербург,Без работы,0,0.234
371,29,18100,4,13,1,62000,Регион,Без работы,1,0.745
372,32,52300,6,8,0,127000,Регион,Наёмный труд,0,0.24
373,21,37000,0,11,0,170000,Регион,ИП,0,0.559
374,26,51600,4,3,0,277000,Регион,Самозанятый,0,0.549
375,41,63900,19,7,0,171000,Регион,Наёмный труд,0,0.348
376,40,152000,20,13,1,60000,Санкт-Петербург,Наёмный труд,0,0.106
377,62,26200,37,7,1,256000,Регион,Наёмный труд,0,0.772
378,52,76900,25,1,2,161000,Регион,Наёмный труд,0,0.292
379,27,54400,2,7,1,241000,Регион,Наёмный труд,1,0.62
380,59,55400,35,14,1,68000,Регион,Самозанятый,0,0.22
381,28,86300,3,0,2,56000,Регион,Самозанятый,0,0.359
382,56,84300,32,14,1,244000,Москва,Без работы,0,0.58
383,32,31400,12,5,2,206000,Регион,Наёмный труд,0,0.813
384,25,39500,1,10,2,102000,Регион,Самозанятый,0,0.611
385,23,32700,0,11,2,200000,Регион,Наёмный труд,0,0.811
386,43,36000,16,5,1,156000,Регион,Наёмный труд,0,0.589
387,47,73700,20,7,0,180000,Регион,Наёмный труд,0,0.286
388,48,49300,22,8,0,115000,Регион,Без работы,1,0.639
389,29,52200,4,0,0,128000,Регион,Наёмный труд,0,0.431
390,53,36900,28,13,0,154000,Регион,Наёмный труд,0,0.444
391,48,24200,27,4,0,81000,Регион,Наёмный труд,0,0.527
392,25,28400,3,8,0,130000,Регион,ИП,0,0.624
393,22,90900,0,14,0,340000,Санкт-Петербург,Наёмный труд,0,0.492
394,34,34400,14,2,1,95000,Регион,Наёмный труд,0,0.608
395,36,103400,13,8,1,296000,Москва,Наёмный труд,0,0.103
396,46,41500,20,6,1,152000,Москва,Наёмный труд,1,0.545
397,24,30200,0,9,2,86000,Санкт-Петербург,Наёмный труд,0,0.669
398,33,99700,9,5,0,62000,Москва,Наёмный труд,0,0.234
399,57,34700,36,2,0,67000,Регион,Наёмный труд,0,0.39
400,40,75700,20,7,0,133000,Санкт-Петербург,Самозанятый,0,0.265
401,35,45400,9,14,0,34000,Москва,Наёмный труд,0,0.177
402,52,28800,31,12,2,49000,Санкт-Петербург,Наёмный труд,0,0.336
403,52,13100,27,4,2,29000,Регион,Без работы,1,0.841
404,37,62800,12,5,0,97000,Регион,Самозанятый,0,0.347
405,27,63900,7,5,1,114000,Москва,ИП,0,0.408
406,28,73800,7,13,0,45000,Регион,Наёмный труд,0,0.127
407,38,84600,12,5,1,137000,Санкт-Петербург,Наёмный труд,0,0.225
408,39,89500,18,1,1,89000,Регион,Без работы,0,0.693
409,27,61000,6,10,0,185000,Регион,ИП,0,0.315
